id,order_id,datetime,pair,side,fee,amount,price,rate
276577069,2285400165,2020-03-20 02:10:49,BTC/JPY,sell,0.0,-0.006,4479.261,689117.0
276581763,2285437838,2020-03-20 02:30:22,BTC/JPY,buy,0.0,0.006,4508.994,695549.0
276581879,2285438166,2020-03-20 02:30:31,BTC/JPY,sell,0.0,-0.007,4510.108,693823.5
276582377,2285442277,2020-03-20 02:32:43,BTC/JPY,buy,0.0,0.006,4513.997,695804.0
276582395,2285442440,2020-03-20 02:32:48,BTC/JPY,sell,0.0,-0.006,4520.347,695438.0
276584577,2285466172,2020-03-20 02:46:25,BTC/JPY,buy,0.0,0.006,4548.995,701778.0
276584929,2285467032,2020-03-20 02:46:45,BTC/JPY,sell,0.0,-0.006,4542.752,698885.0
276585047,2285467368,2020-03-20 02:46:53,BTC/JPY,buy,0.0,0.006,4546.998,701167.0
276585059,2285467631,2020-03-20 02:46:59,BTC/JPY,sell,0.0,-0.006,4554.121,700634.0
276585341,2285468868,2020-03-20 02:47:33,BTC/JPY,buy,0.0,0.006,4563.993,703561.0
276585411,2285469041,2020-03-20 02:47:37,BTC/JPY,sell,0.0,-0.006,4565.685,702413.0
276586469,2285473658,2020-03-20 02:49:43,BTC/JPY,buy,0.0,0.006,4590.998,709121.0
276586581,2285473880,2020-03-20 02:49:47,BTC/JPY,sell,0.0,-0.006,4597.619,707326.0
276586821,2285474708,2020-03-20 02:50:05,BTC/JPY,buy,0.0,0.006,4601.995,708888.0
276586893,2285474916,2020-03-20 02:50:10,BTC/JPY,sell,0.0,-0.006,4601.259,707886.0
276587981,2285480056,2020-03-20 02:52:21,BTC/JPY,buy,0.0,0.006,4571.997,705160.0
276588019,2285480288,2020-03-20 02:52:25,BTC/JPY,sell,0.0,-0.006,4572.704,703493.0
276589511,2285493132,2020-03-20 02:59:06,BTC/JPY,buy,0.0,0.006,4566.996,704000.0
276589575,2285493566,2020-03-20 02:59:20,BTC/JPY,sell,0.0,-0.006,4576.033,704005.0
276591047,2285501545,2020-03-20 03:03:11,BTC/JPY,buy,0.0,0.006,4520.998,699866.5
276591169,2285501792,2020-03-20 03:03:16,BTC/JPY,sell,0.0,-0.006,4537.466,698071.5
276592149,2285507785,2020-03-20 03:05:57,BTC/JPY,buy,0.0,0.007,4525.999,696149.0
276592237,2285507925,2020-03-20 03:06:01,BTC/JPY,sell,0.0,-0.007,4510.678,693891.5
276592325,2285508133,2020-03-20 03:06:05,BTC/JPY,buy,0.0,0.006,4518.996,696379.5
276592413,2285508807,2020-03-20 03:06:26,BTC/JPY,sell,0.0,-0.006,4513.151,694331.0
276592707,2285511145,2020-03-20 03:07:33,BTC/JPY,buy,0.0,0.006,4510.995,695059.0
276592777,2285511988,2020-03-20 03:08:00,BTC/JPY,sell,0.0,-0.006,4495.79,691660.0
