id,order_id,datetime,pair,side,fee,amount,price,rate
288028017,2329775193,2020-03-30 00:39:55,BTC/JPY,buy,0,0.006,3987.558,664593.0
288037483,2329884743,2020-03-30 01:20:59,BTC/JPY,sell,0,0.006,4005.175,667529.5
288038274,2329887737,2020-03-30 01:21:26,BTC/JPY,buy,0,0.006,4003.842,667307.0
288042247,2329913930,2020-03-30 01:28:07,BTC/JPY,sell,0,0.006,3973.926,662321.0
288043335,2329920193,2020-03-30 01:29:21,BTC/JPY,buy,0,0.006,3964.326,660721.0
288063524,2330094887,2020-03-30 02:22:56,BTC/JPY,sell,0,0.006,3957.732,659622.0
288063729,2330098562,2020-03-30 02:24:21,BTC/JPY,buy,0,0.006,3958.638,659773.0
288066986,2330133591,2020-03-30 02:36:45,BTC/JPY,sell,0,0.006,3975.102,662517.0
288067952,2330138303,2020-03-30 02:37:36,BTC/JPY,buy,0,0.006,3973.722,662287.0
288070183,2330165054,2020-03-30 02:46:51,BTC/JPY,sell,0,0.006,3976.668,662778.0
288073787,2330195802,2020-03-30 02:56:37,BTC/JPY,buy,0,0.006,3978.402,663067.0
288078081,2330259620,2020-03-30 03:20:19,BTC/JPY,sell,0,0.006,3969.78,661630.0
288082317,2330327574,2020-03-30 03:47:03,BTC/JPY,buy,0,0.006,3957.15,659525.0
288082378,2330327783,2020-03-30 03:47:05,BTC/JPY,sell,0,0.006,3954.09,659015.0
288093557,2330456643,2020-03-30 04:31:00,BTC/JPY,buy,0,0.006,3931.014,655169.0
288094691,2330460000,2020-03-30 04:31:19,BTC/JPY,sell,0,0.006,3909.84,651640.0
288094755,2330460315,2020-03-30 04:31:21,BTC/JPY,sell,0,0.006,3916.416,652736.0
288095307,2330462667,2020-03-30 04:31:36,BTC/JPY,buy,0,0.006,3908.094,651349.0
288095362,2330462865,2020-03-30 04:31:38,BTC/JPY,buy,0,0.006,3907.302,651217.0
288097440,2330469405,2020-03-30 04:32:14,BTC/JPY,sell,0,0.006,3887.274,647879.0
288097519,2330469696,2020-03-30 04:32:16,BTC/JPY,sell,0,0.006,3882.258,647043.0
288097599,2330470002,2020-03-30 04:32:18,BTC/JPY,buy,0,0.006,3893.076,648846.0
288098357,2330473355,2020-03-30 04:32:39,BTC/JPY,buy,0,0.006,3891.786,648631.0
288099329,2330477705,2020-03-30 04:33:09,BTC/JPY,sell,0,0.006,3872.052,645342.0
288099428,2330478165,2020-03-30 04:33:11,BTC/JPY,sell,0,0.006,3881.382,646897.0
288099630,2330479043,2020-03-30 04:33:17,BTC/JPY,buy,0,0.006,3880.722,646787.0
288099697,2330479320,2020-03-30 04:33:19,BTC/JPY,buy,0,0.006,3880.266,646711.0
288100605,2330483415,2020-03-30 04:33:52,BTC/JPY,sell,0,0.006,3881.55,646925.0
288100793,2330484228,2020-03-30 04:33:58,BTC/JPY,buy,0,0.006,3871.38,645230.0
288101341,2330486755,2020-03-30 04:34:20,BTC/JPY,sell,0,0.006,3878.82,646470.0
288102178,2330490960,2020-03-30 04:35:02,BTC/JPY,buy,0,0.006,3873.744,645624.0
288102339,2330492021,2020-03-30 04:35:15,BTC/JPY,sell,0,0.006,3879.222,646537.0
288103422,2330497928,2020-03-30 04:36:11,BTC/JPY,buy,0,0.006,3880.608,646768.0
288106028,2330518474,2020-03-30 04:40:59,BTC/JPY,sell,0,0.006,3873.906,645651.0
288106457,2330522812,2020-03-30 04:42:06,BTC/JPY,buy,0,0.006,3872.124,645354.0
288108019,2330529817,2020-03-30 04:43:13,BTC/JPY,sell,0,0.006,3858.3,643050.0
288108562,2330532113,2020-03-30 04:43:30,BTC/JPY,buy,0,0.006,3843.924,640654.0
288109193,2330535040,2020-03-30 04:43:52,BTC/JPY,sell,0,0.006,3854.058,642343.0
288109606,2330536860,2020-03-30 04:44:08,BTC/JPY,buy,0,0.006,3852.762,642127.0
288110518,2330541670,2020-03-30 04:44:53,BTC/JPY,sell,0,0.006,3852.828,642138.0
288110691,2330542672,2020-03-30 04:45:03,BTC/JPY,buy,0,0.006,3847.236,641206.0
288111039,2330544764,2020-03-30 04:45:26,BTC/JPY,sell,0,0.006,3834.984,639164.0
288112040,2330550222,2020-03-30 04:46:22,BTC/JPY,buy,0,0.006,3840.588,640098.0
288114340,2330564024,2020-03-30 04:48:53,BTC/JPY,sell,0,0.006,3873.6,645600.0
288114683,2330565558,2020-03-30 04:49:10,BTC/JPY,buy,0,0.006,3867.936,644656.0
288117111,2330584945,2020-03-30 04:53:39,BTC/JPY,sell,0,0.006,3854.736,642456.0
288117270,2330585662,2020-03-30 04:53:45,BTC/JPY,sell,0,0.006,3859.86,643310.0
288117334,2330585974,2020-03-30 04:53:48,BTC/JPY,buy,0,0.006,3861.576,643596.0
288118747,2330599772,2020-03-30 04:57:21,BTC/JPY,buy,0,0.006,3851.922,641987.0
288131956,2330695590,2020-03-30 05:20:42,BTC/JPY,sell,0,0.006,3847.122,641187.0
288132864,2330707875,2020-03-30 05:24:15,BTC/JPY,buy,0,0.006,3835.842,639307.0
288133307,2330710910,2020-03-30 05:24:52,BTC/JPY,sell,0,0.006,3833.889,638988.5
288135531,2330725761,2020-03-30 05:28:10,BTC/JPY,buy,0,0.006,3832.014,638669.0
288137325,2330744540,2020-03-30 05:33:29,BTC/JPY,sell,0,0.006,3841.644,640274.0
288141603,2330776407,2020-03-30 05:41:06,BTC/JPY,buy,0,0.006,3870.344,645087.0
288164087,2331034216,2020-03-30 07:07:57,BTC/JPY,sell,0,0.006,3852.918,642153.0
288164332,2331035642,2020-03-30 07:08:14,BTC/JPY,buy,0,0.006,3851.076,641846.0
288165820,2331054301,2020-03-30 07:14:09,BTC/JPY,sell,0,0.006,3848.076,641346.0
288166228,2331056778,2020-03-30 07:14:40,BTC/JPY,buy,0,0.006,3845.772,640962.0
288166525,2331059241,2020-03-30 07:15:16,BTC/JPY,sell,0,0.006,3851.304,641884.0
288174234,2331137810,2020-03-30 07:40:18,BTC/JPY,buy,0,0.006,3843.816,640636.0
288176758,2331170291,2020-03-30 07:51:39,BTC/JPY,sell,0,0.006,3840.09,640015.0
288200259,2331397342,2020-03-30 09:04:30,BTC/JPY,sell,0,0.006,3801.804,633634.0
288200427,2331398055,2020-03-30 09:04:36,BTC/JPY,buy,0,0.006,3798.786,633131.0
288220851,2331576800,2020-03-30 09:57:15,BTC/JPY,buy,0,0.006,3826.23,637705.0
288222397,2331595923,2020-03-30 10:04:15,BTC/JPY,sell,0,0.006,3819.354,636559.0
288243682,2331792035,2020-03-30 11:07:13,BTC/JPY,sell,0,0.006,3868.698,644783.0
288243767,2331792302,2020-03-30 11:07:15,BTC/JPY,buy,0,0.006,3874.734,645789.0
288243874,2331792752,2020-03-30 11:07:17,BTC/JPY,sell,0,0.006,3877.95,646325.0
288244394,2331794503,2020-03-30 11:07:27,BTC/JPY,buy,0,0.006,3870.042,645007.0
288246796,2331804713,2020-03-30 11:09:05,BTC/JPY,buy,0,0.006,3873.33,645555.0
288248092,2331811688,2020-03-30 11:10:32,BTC/JPY,sell,0,0.006,3867.498,644583.0
288274876,2332070565,2020-03-30 12:32:13,BTC/JPY,buy,0,0.006,3883.29,647215.0
288276717,2332086918,2020-03-30 12:37:16,BTC/JPY,sell,0,0.006,3879.444,646574.0
288277698,2332097932,2020-03-30 12:41:02,BTC/JPY,buy,0,0.006,3875.718,645953.0
288284057,2332167503,2020-03-30 13:05:18,BTC/JPY,sell,0,0.006,3884.574,647429.0
288292513,2332241829,2020-03-30 13:28:56,BTC/JPY,buy,0,0.006,3912.696,652116.0
288299514,2332309774,2020-03-30 13:53:31,BTC/JPY,sell,0,0.006,3908.483,651447.5
288300956,2332323575,2020-03-30 13:57:59,BTC/JPY,buy,0,0.006,3914.31,652385.0
288302765,2332334641,2020-03-30 14:00:51,BTC/JPY,sell,0,0.006,3933.294,655549.0
288302896,2332335196,2020-03-30 14:00:54,BTC/JPY,sell,0,0.006,3937.872,656312.0
288302997,2332335615,2020-03-30 14:00:57,BTC/JPY,buy,0,0.006,3946.416,657736.0
288303510,2332337281,2020-03-30 14:01:08,BTC/JPY,buy,0,0.006,3940.506,656751.0
288304260,2332340569,2020-03-30 14:01:35,BTC/JPY,sell,0,0.006,3948.366,658061.0
288304304,2332340761,2020-03-30 14:01:37,BTC/JPY,buy,0,0.006,3951.87,658645.0
